Global Question ID,Source Question Number,Paper ,Unit Name,Chapter Name,Subject / Title,Question Type,Question Text,Option 1,Option 2,Option 3,Option 4,Right Answer,Explanation,Correct Marks,Negative Marks,Difficulty
Q-00011,10,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s early works are correct?
A. Pope’s ""Pastorals"" (1709) were claimed to be written when he was sixteen.
B. ""Pastorals"" were published in Jacob Tonson’s ""Poetical Miscellanies"" (1710).
C. ""An Essay on Criticism"" (1711) contains the line, “To err is human; to forgive, divine.”
D. The famous dictum “A little learning is a dangerous thing” also comes from ""An Essay on Criticism.""
E. ""Pastorals"" are celebrated for their natural simplicity, avoiding artificial imagery such as “sylvan strains” and “warbling Philomel.”
Choose the correct answer from the options given below:","A, B, and C only","A, B, C, and D only","B, C, and E only","A, C, D, and E only",2,"Correct statements are A, B, C, and D:
""Pastorals"" were written when Pope was very young and published in Tonson’s ""Poetical Miscellanies""
""An Essay on Criticism"" includes the lines “To err is human; to forgive, divine” and “A little learning is a dangerous thing”
Statement E is false: Pope’s ""Pastorals"" relied heavily on conventional poetic imagery",2,0,Medium
Q-00012,11,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements hold true with respect to Alexander Pope's ""An Essay on Criticism""?
A. It is ""an inquiry into the nature and value of poetry""
B. It presents ""a series of generalizations about good taste""
C. It explores the challenges of impartial and just criticism
D. It underlines the traits of ""the good critic""
E. It critically reflects on Plato's rejection of poetry
Choose the correct answer from the options given below:",A and B only,B and C only,"A, B, C and E only","B, C and D only",4,"The correct features of ""An Essay on Criticism"" are B, C, and D:
It generalizes about good taste
It examines the problems of impartial and fair criticism
It outlines the qualities of a good critic
It does not directly inquire into Plato’s rejection of poetry or focus exclusively on the value of poetry.",2,0,Medium
Q-00013,12,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"In ""An Essay on Criticism"", Pope
A. analyses the causes of faulty criticism and praises the great critics of the past
B. analyses the causes of faulty criticism and characterises the good critic
C. analyses the structure of a good essay and praises the great critics of the past
D. analyses the structure of a good essay and suggests how such an essay could be converted into good criticism
E. analyses the merits of the poetry of Wordsworth and praises the great critics of the past
Which of the above statements are correct?
Choose the correct answer from the options given below:",A and B,"A, B, and C","C, D and E",A and D,1,"""An Essay on Criticism"" addresses the flaws in criticism and identifies the qualities of a good critic.  
It also praises great critics of antiquity but does not discuss the structure of essays or Wordsworth’s poetry.  
Thus, statements A and B are correct.",2,0,Easy
Q-00014,13,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following poems are written by Alexander Pope?
A. ""The Dunciad""
B. ""Moral Essays""
C. ""Grongar Hill""
D. ""Cooper's Hill""
E. ""Absalom and Achitophel""
Choose the correct answer from the options given below:",A and C only,B and E only,A and B only,C and D only,3,"Pope’s works include ""The Dunciad"" and ""Moral Essays"".  
""Grongar Hill"" was written by John Dyer.  
""Cooper’s Hill"" was composed by John Denham.  
""Absalom and Achitophel"" was written by John Dryden.  
Thus, only A and B are Pope’s works.",2,0,Easy
Q-00015,14,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"""A little learning is a dangerous thing,
Drink deep, or taste not the Pierian spring.""
Which literary critic has expressed the above given thought?
Choose the correct answer from the options given below:",De Quincey,Alexander Pope,William Shakespeare,Samuel Johnson,2,"The famous lines come from Pope’s ""An Essay on Criticism"" (1711).  
They warn against superficial knowledge, urging deeper learning.  
It is one of the most frequently quoted lines in English literary criticism.",2,0,Easy
Q-00016,15,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s ""An Essay on Criticism"" are correct?
A. The line “Fools rush in where angels fear to tread” appears in Part III of the poem
B. The couplet “A little Learning is a dangerous thing; / Drink deep, or taste not the Pierian Spring” is from Part II
C. The Pierian Spring, sacred to the Muses, is located in Macedonia
D. The famous line “To Err is Human; to Forgive, Divine” is found towards the end of Part II
E. Pope’s ""An Essay on Criticism"" shows the influence of Horace’s ""Ars Poetica"" and Lucretius’ ""De Rerum Natura""
Choose the correct answer from the options given below:","A, B, and C only","A, B, D, and E only","B, C, D, and E only","A, B, C, D, and E",4,"All statements A–E are correct:
“Fools rush in where angels fear to tread” is in Part III
“A little Learning…” appears in Part II
The Pierian Spring is sacred to the Muses in Macedonia
“To Err is Human…” is also from Part II
The poem reflects influences from Horace’s ""Ars Poetica"" and Lucretius’ ""De Rerum Natura""",2,0,Hard
Q-00017,16,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s ""An Essay on Criticism"" are correct?
A. The poem begins with rules that govern poetry and guide a critic’s judgment.
B. It presents ""a series of generalizations about good taste.""
C. It explores the challenges of impartial and just criticism.
D. It underlines the traits of ""the good critic.""
E. It analyses the causes of faulty criticism and praises the great critics of the past.
Choose the correct answer from the options given below:","A, B, and C only","A, B, C, and D only","B, C, D, and E only","A, B, C, D, and E",4,"All the listed points are correct. ""An Essay on Criticism"" begins with general rules, provides insights into taste, examines impartial criticism, lists the qualities of a good critic, and critiques faulty criticism while praising ancient masters.  
Thus, the correct answer is A, B, C, D, and E.",2,0,Hard
Q-00018,17,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s ""An Essay on Criticism"" are correct?
A. Pope writes, “True Ease in Writing comes from Art, not Chance, / As those move easiest who have learn'd to dance”, emphasizing that poets are made, not born.
B. The essay concludes with Pope mentioning his mentor and friend William Walsh, who had died in 1708.
C. The work was attacked by John Dennis, who was mockingly referred to in the poem and later appeared in ""The Dunciad"".
D. Thomas Rymer criticized critics harshly, comparing them to wolves who bark without knowledge.
E. Jonathan Swift observed that critics were “as barbarous as a judge who should take up a resolution to hang all men that came before him upon trial.”
Choose the correct answer from the options given below:","A, B, and C only","A, C, and D only","A, B, C, and E only","A, B, C, D, and E",4,"All statements are true:
The couplet emphasizes learned art in poetry.
The essay closes with a tribute to William Walsh.
John Dennis attacked the work and was later mocked in ""The Dunciad"".
Thomas Rymer was infamous for harsh critical analogies.
Swift satirically compared critics to barbarous judges.  
Thus, A, B, C, D, and E are correct.",2,0,Hard
Q-00019,18,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s ""The Rape of the Lock"" are correct?
A. First published in 1712 and revised in 1714, the poem is a mock-epic satirizing a high-society quarrel.
B. The central event involves Arabella Fermor (Belinda) and Lord Petre, who snipped a lock of her hair without permission.
C. The revised version emphasizes acquisitive individualism and material culture over human actions.
D. The poem was based on an incident narrated by John Caryll, aiming to reconcile the Fermor and Petre families.
E. The title itself refers to ""to snatch, to grab, to carry off.""
Choose the correct answer from the options given below:","A, B, and C only","A, B, C, and D only","A, B, D, and E only","A, B, C, D, and E",4,"All statements are correct:
""The Rape of the Lock"" (1712; expanded 1714) is a mock-epic.
It satirizes the incident involving Belinda (Arabella Fermor) and Lord Petre.
The later version accentuated themes of materialism.
The poem originated from John Caryll’s attempt at reconciliation.
The title ""rape"" derives from Latin rapere, meaning to seize or carry off.  
Thus A, B, C, D, and E are correct.",2,0,Medium
Q-00020,19,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s ""The Rape of the Lock"" are correct?
A. Ariel, the chief Sylph, warns Belinda in a dream of a “dread event.”
B. Belinda plays ombre at Hampton Court before Baron succeeds in stealing her lock.
C. The Gnome Umbriel visits the Cave of Spleen and receives a bag of sighs and a vial of sorrows.
D. Clarissa advises maintaining good humor, but her counsel is ignored.
E. The poem ends with the lost lock becoming immortalized as a constellation.
Choose the correct answer from the options given below:","A, B, and C only","A, C, and D only","B, C, D, and E only","A, B, C, D, and E",4,"All listed statements are true:
Ariel forewarns Belinda.
Belinda plays ombre before the Baron seizes her lock.
Umbriel visits the Cave of Spleen for magical items.
Clarissa delivers a rational speech ignored by others.
The lock is finally immortalized in the heavens.  
Thus, A, B, C, D, and E are correct.",2,0,Easy
Q-00021,20,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s works are correct?
A. ""Windsor Forest"" (1713) is an artificial pastoral written in heroic couplets.
B. Richard Bentley commented on Pope’s ""Iliad"" translation, “A pretty poem, Mr. Pope, but you must not call it Homer.”
C. Pope collaborated with John Gay and John Arbuthnot on the satirical farce ""Three Hours After Marriage"" (1717).
D. The play ""Three Hours After Marriage"" centers on Doctor Fossil, an arrogant scientist, and his much younger wife, Mrs. Townley.
E. The subplot of ""Three Hours After Marriage"" features Phoebe Clinket, a female poet, and Sir Tremendous, a literary critic.
Choose the correct answer from the options given below:","A, B and C only","B, C and D only","C, D and E only","A, B, C, D and E",4,"All statements are correct:
""Windsor Forest"" (1713) is a topographical pastoral in heroic couplets.
Bentley’s remark belittled Pope’s translation of ""Homer.""
Pope collaborated with Gay and Arbuthnot on ""Three Hours After Marriage.""
The play’s plot focuses on Doctor Fossil and Mrs. Townley.
The subplot includes Phoebe Clinket and Sir Tremendous.  
Thus, A, B, C, D, and E are correct.",2,0,Medium
Q-00022,21,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s ""The Dunciad"" are correct?
A. ""The Dunciad"" (1728) is a mock-heroic narrative poem celebrating the goddess Dullness.
B. Pope attacked Lewis Theobald in ""The Dunciad"" after Theobald criticized his Shakespeare edition in ""Shakespeare Restored"" (1726).
C. In the first version, Theobald appears as “Tibbald,” the favorite son of Dulness.
D. Colley Cibber later replaced Theobald as the hero in Pope’s revised ""Dunciad.""
E. Pope openly acknowledged his authorship of ""The Dunciad"" immediately in 1728.
Choose the correct answer from the options given below:","A, B and C only","B, C and D only","A, B, C and D only","A, C, D and E only",3,"Statements A, B, C, and D are correct:
""The Dunciad"" (1728) satirized cultural decline under the goddess Dulness.
Theobald was targeted after publishing ""Shakespeare Restored.""
Theobald was mocked as “Tibbald” in the original version.
Colley Cibber replaced Theobald in the 1743 revision.
Statement E is false: Pope initially published the poem anonymously.",2,0,Hard
Q-00023,22,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s ""Moral Essays"" and ""Essay on Man"" are correct?
A. ""Moral Essays"" (1731–1735) consist of epistles such as ""Epistle to Cobham"" (“Of the Knowledge and Characters of Men”) and ""Epistle to a Lady"" (“Of the Characters of Women”).
B. ""Essay on Man"" (1733–1734) was dedicated to Henry St John, Viscount Bolingbroke, and opens with “Awake, St John…”
C. ""Essay on Man"" seeks to “vindicate the ways of God to man,” echoing Milton’s ""Paradise Lost.""
D. Famous lines from ""Essay on Man"" include “The proper study of mankind is man” and “Whatever is, is right.”
E. Voltaire condemned ""Essay on Man"" as worthless, while Rousseau ignored it completely.
Choose the correct answer from the options given below:","A, B and C only","B, C and D only","A, B, C and D only","A, C, D and E only",3,"Statements A, B, C, and D are correct:
""Moral Essays"" are epistles written between 1731–35.
""Essay on Man"" was addressed to Bolingbroke and begins with “Awake, St John.”
It aims to justify God’s ways to man, echoing Milton’s ""Paradise Lost.""
It includes famous lines such as “The proper study of mankind is man” and “Whatever is, is right.”
Statement E is false: Voltaire admired the work initially, and Rousseau engaged with its ideas.",2,0,Medium
Q-00024,23,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s ""Epistle to Dr. Arbuthnot"" (1735) are correct?
A. It was addressed to his dying friend, Dr. John Arbuthnot, physician to Queen Anne and a member of the Scriblerus Club.
B. The work is considered Pope’s most directly autobiographical, defending his satire and attacking literary enemies.
C. It contains the famous phrases “damn with faint praise” and “Who breaks a butterfly upon a wheel?”
D. The canonical version consists of 419 lines in heroic couplets.
E. The poem was first published in 1711, alongside Pope’s ""An Essay on Criticism.""
Choose the correct answer from the options given below:","A, B and C only","A, B, C and D only","B, C, D and E only","A, D and E only",2,"Statements A, B, C, and D are correct:
The poem was addressed to Arbuthnot, Pope’s Scriblerian friend.
It is highly autobiographical, defending his satire and lampooning rivals.
It coined enduring phrases such as “damn with faint praise.”
It consists of 419 heroic couplets.
Statement E is false: It was published in 1735, not in 1711.",2,0,Medium
Q-00025,24,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope’s ""Epistle to Dr. Arbuthnot"" are correct?
A. The poem contains character sketches of ""Atticus"" (Joseph Addison) and ""Sporus"" (John Hervey).
B. ""Atticus"" (Addison) is portrayed as a man of true genius, yet envious, timid, and jealous of rivals.
C. ""Sporus"" (Hervey) is depicted as sexually perverse, malicious, absurd, and dangerous.
D. Arbuthnot’s exclamation, “Who breaks a butterfly upon a wheel?” underscores the savagery of Pope’s attack on Sporus.
E. The poem praises Addison’s generosity and portrays him as Pope’s lifelong ally and literary supporter.
Choose the correct answer from the options given below:","A, B and C only","A, B, C and D only","B, C, D and E only","A, D and E only",2,"Statements A, B, C, and D are correct:
The poem satirizes ""Atticus"" (Addison) as brilliant but envious.
""Sporus"" (Hervey) is mocked as effeminate and malicious.
The work contains the line about breaking a butterfly on a wheel.
It does not praise Addison as a friend but critiques him.  
Thus, A, B, C, and D are correct.",2,0,Hard
Q-00026,25,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following playwrights have collaborated in writing the satire ""Three Hours after Marriage""?
A. John Gay
B. John Dryden
C. Alexander Pope
D. William Congreve
E. John Arbuthnot
Choose the correct answer from the options given below:","A, B and D","A, C and E","A, B and E","A, D and E",2,"The satirical play ""Three Hours after Marriage"" (1717) was a joint work by John Gay, Alexander Pope, and John Arbuthnot.  
Dryden and Congreve were not collaborators in this project.",2,0,Easy
Q-00027,26,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about 18th-century English poets and their works are correct?
A. John Gay’s ""Trivia, or The Art of Walking the Streets of London"" (1715) satirically depicts London life.
B. Edward Young’s ""Night Thoughts"" (1742) is a meditative poem on life, death, and immortality.
C. Lady Winchilsea’s ""The Spleen"" (1701) is a Pindaric ode, while ""Nocturnal Reverie"" influenced Wordsworth.
D. Ambrose Philips’s verse was ridiculed by Pope as “namby-pamby,” and he was mocked in ""The Dunciad.""
E. Thomas Parnell’s ""The Hermit"" (1710) is a satirical mock-epic poem modeled on Pope’s ""The Rape of the Lock.""
Choose the correct answer from the options given below:","A, B and C only","A, B, C and D only","B, C, D and E only","A, D and E only",2,"Statements A, B, C, and D are correct:
Gay’s ""Trivia"" humorously presents London street life.
Young’s ""Night Thoughts"" meditates on mortality and faith.
Lady Winchilsea’s ""The Spleen"" and ""Nocturnal Reverie"" were admired by Romantic poets.
Ambrose Philips was ridiculed by Pope as “namby-pamby” and mocked in ""The Dunciad.""
Statement E is false: ""The Hermit"" is a reflective moral poem, not a mock-epic.",2,0,Medium
Q-00028,27,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about 18th-century coffeehouse culture and the Scriblerus Club are correct?
A. Will’s Coffeehouse became famous as John Dryden’s favorite meeting place.
B. Alexander Pope’s ""The Rape of the Lock"" was partly inspired by gossip circulating in coffeehouses.
C. The Scriblerus Club, founded in 1714, included Swift, Pope, Arbuthnot, John Gay, St. John, and Parnell.
D. The satirical persona Martinus Scriblerus was created by the Scriblerus Club members.
E. Henry Fielding’s ""Welsh Opera"" and his pen name “Scriblerus Secundus” were tributes to the Scriblerians.
Choose the correct answer from the options given below:","A, B and C only","A, B, D and E only","A, C, D and E only","A, B, C, D and E",4,"All statements A–E are correct:
Will’s Coffeehouse was a literary hub for Dryden.
Pope’s ""The Rape of the Lock"" reflected social gossip.
The Scriblerus Club (1714) united leading satirists.
Martinus Scriblerus was their joint satirical creation.
Henry Fielding honored them in his ""Welsh Opera"" and pen name.",2,0,Hard
Q-00029,28,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about the Kit-Cat Club are correct?
A. The Kit-Cat Club was an early 18th-century London club with strong political and literary associations.
B. The name “Kit-Cat” came from mutton pies made by Christopher Catt at the tavern in Shire Lane.
C. The Club’s members were primarily committed Whigs, including writers like Addison, Congreve, and Vanbrugh.
D. Meetings were later held at Jacob Tonson’s Barn Elms and at the Upper Flask in Hampstead Heath.
E. Political members included Sir Robert Walpole, Duke of Newcastle, and the Earl of Stanhope.
Choose the correct answer from the options given below:","A, B and C only","A, B, C and D only","A, C, D and E only","A, B, C, D and E",4,"All statements are correct:
The Kit-Cat Club was influential politically and literarily.
Its name came from Christopher Catt’s pies.
It included Whig writers like Addison and Congreve.
Meetings were held at Tonson’s Barn Elms and the Upper Flask.
Key political members were Walpole, Newcastle, and Stanhope.",2,0,Medium
